Model, HumanEval/T427, HumanEval/T8, HumanEval/795, HumanEval/1042, HumanEval/732, HumanEval/764, HumanEval/592, HumanEval/972, HumanEval/600, HumanEval/158
Gemini1.5-Pro 002 COT, ELSE, LOOP_SKIP, NONE, ELSE, STATEMENT_SKIP, STATEMENT_SKIP, NONE, NONE, NONE, DEF_SKIP
Claude3.5-Sonnet V2, ELSE, PREDICATE_WRONG, NONE, ELSE, STATEMENT_SKIP, NONE, NONE, NONE, NONE, DEF_SKIP
GPT4o, ELSE, LOOP_SKIP, CONDITION_SKIP, ELSE, CONDITION_SKIP, NONE, NONE, NONE, NONE, NONSENSE
Qwen2.5-Coder 32B, CONDITION_SKIP, NO_EXIT, LOOP_SKIP, ELSE, STATEMENT_SKIP, STATEMENT_SKIP, NONE, NONE, NONE, DEF_SKIP
Qwen2.5-Coder 7B, DEF_CALL, DEF_CALL, LOOP_SKIP, PREDICATE_WRONG, DEF_CALL, DEF_CALL, NONSENSE, NONSENSE, CONDITION_SKIP, EMPTY
LLama3.1 70B, ELSE, NO_EXIT, CONDITION_SKIP, ELSE, STATEMENT_SKIP, STATEMENT_SKIP, NONE, NONE, NONE, DEF_SKIP
LLama3.1 8B, STATEMENT_SKIP, PREDICATE_WRONG, CONDITION_SKIP, PREDICATE_WRONG, STATEMENT_SKIP, EMPTY, EMPTY, EMPTY, NONE, NONSENSE
CodeStral 22B, CONDITION_SKIP, PREDICATE_WRONG, NONSENSE, STATEMENT_SKIP, STATEMENT_SKIP, STATEMENT_SKIP, NONSENSE, NONE, STATEMENT_SKIP, DEF_SKIP
CodeLLama 8B, NONSENSE, NONSENSE, EMPTY, EMPTY, NONSENSE, EMPTY, NONSENSE, NONSENSE, STATEMENT_SKIP, EMPTY
